Derris taiwaniana
Dianthus fasciculatus
Dolichostachys elongata
Drimiopsis kikiae
Euphorbia neorugosa
Leopoldia elmasii
Leopoldia erdalii
Leopoldia massayana
Leopoldia mira
Leopoldia muglaensis
Leopoldia savranii
Meiosperma debile
Microlicia schwackeana
Paphiopedilum ayubianum
Paphiopedilum christensonianum
Rivina andamanensis
Ruellia umbrosa
Solanum peikuoense
Tulipa brinkii
Vavara breviflora
Actinodaphne lanceolata
Amischotolype scandens
Astragalus wiesneri
Beilschmiedia laotica
Cadetia maideniana
Camellia hamyenensis
Candollea leptophylla
Chamaeanthus canhii
Chamaeanthus longicheila
Cicerbita cyprica
Dendrobium eksanianum
Dichanthelium scribnerianum
Diplazium bouffordii
Dryopteris pseudocomplexa
Echinopsis glaziovii
Edraianthus tarae
Eriobotrya averyanovii
Euphorbia linguiformis
Gigantochloa glabrata
Gymnocalycium bicolor
Hedysarum damghanicum
Holcoglossum phongii
Humbertacalia leucopappa
Justicia aspera
Justicia cordifolia
Justicia pusilla
Lactuca kossinskyi
Lepanthes velosa
Leptogramma stegnogrammopsis
Leptosiphon minimus
Leptosiphon montanus
Lissochilus streptopetalus
Litsea pseudolongifolia
Luisia simaoensis
Lysimachia longipedicellata
Microlicia australis
Microlicia rigida
Monteverdia psammophila
Myrcia depauperata
Myrcia siriacoana
Myrcia tocantinensis
Orthochilus thomsonii
Orthochilus vinosus
Osmunda acuta
Paepalanthus petraeus
Palhinhaea crassifolia
Persea psammophila
Phalaenopsis formosana
Pleroma imperatore
Pteridium rostratum
Pultenaea elusa
Pyrrosia glabra
Rapicactus zaragosae
Rhamnus borgiae
Rhaponticoides hajastana
Rhaponticoides razdorskyi
Rhaponticoides tamanianiae
Ruellia sibua
Scorzonera crispatula
Scorzonera lanata
Selenicereus costaricensis
Stelis profusa
Strophocactus sicariguensis
Trichostema austromontanum
Tzveleviochloa schmidii
Verbascum × tommasinianum
Vincetoxicum anatolicum
Vincetoxicum taiwanense
Acmispon plebeius
Aeschynomene manipurensis
Agave maria-patriciae
Alsophila exilis
Andropogon decipiens
Berberis moloensis
Berberis yingii
Caragana angustissima
Carex flaccida
Caroxylon omanense
Casearia celastroides
Cenchrus nubicus
Ceropegia togoensis
Chamaenerion speciosum
Chimonocalamus nagalandianus
Cirsium validum
Cistanthe subspeciosa
Cleistocactus ritteri
Comastoma alashanicum
Combretum humbertii
Cotoneaster froebelii
Crocus sipyleus
Croton insignis
Cumulopuntia ignota
Cumulopuntia unguispina
Cycas bglswamyi
Cynanchica tenuifolia
Eugenia ekmanii
Fimbribambusa soejatmiae
Halodule × linearifolia
Halodule × serratifolia
Heptapleurum nodosum
